Round,Fencer 1 Name,Fencer 1 Nationality,Fencer 1 Score,Fencer 2 Name,Fencer 2 Nationality,Fencer 2 Score,Referees,video_url
32,BATTAI Sugar Katinka,HUN,13,EMURA Misaki,JPN,15,Ref KHALED Amr EGY,https://www.youtube.com/watch?v=h4TKGhmxnWk
16,JEON Hayoung,KOR,15,FU Ying,CHN,14,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=SKV8QtGF_XI&pp=0gcJCX4JAYcqIYzv
16,BATTISTON Michela,ITA,7,GEORGIADOU Despina,GRE,15,Ref RODRIGUEZ Joslin VEN,https://www.youtube.com/watch?v=404oPwyqt_Y
16,MARTIN-PORTUGUES Lucia,ESP,15,CHOI Sebin,KOR,14,Ref BOUKAS Evangelos GRE,https://www.youtube.com/watch?v=Co2Sn2iVmbQ
16,QUEROLI Caroline,FRA,0,ILIEVA Yoana,BUL,0,Ref QIAO Min CHN,https://www.youtube.com/watch?v=yPFU6uQESKY
16,CLAPIER Faustine,FRA,15,ERBIL Nisanur,TÜR,13,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=nAn1q6QbWtU
16,SZUCS Luca,HUN,5,NOUTCHA Sarah,FRA,15,Ref KHALED Amr EGY,https://www.youtube.com/watch?v=9dJSacYqmcM&pp=0gcJCX4JAYcqIYzv
16,NAVARRO Araceli,ESP,15,FUSETTI Benedetta,ITA,14,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=vIw-U_kXxCI
16,DAYIBEKOVA Zaynab,UZB,11,EMURA Misaki,JPN,15,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=LohcTabgr4Y
8,JEON Hayoung,KOR,11,GEORGIADOU Despina,GRE,15,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=A4M--vvmkHU
8,MARTIN-PORTUGUES Lucia,ESP,11,ILIEVA Yoana,BUL,15,Ref QIAO Min CHN,https://www.youtube.com/watch?v=FVyVV5Uc0Wk
8,CLAPIER Faustine,FRA,5,NOUTCHA Sarah,FRA,15,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=cRBn2L82k6A
8,NAVARRO Araceli,ESP,13,EMURA Misaki,JPN,15,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=zS2lS2dg-Y4
4,GEORGIADOU Despina,GRE,15,ILIEVA Yoana,BUL,12,Ref GHAZY Tamim EGY,https://www.youtube.com/watch?v=-TGqJgcLjJE
4,NOUTCHA Sarah,FRA,15,EMURA Misaki,JPN,14,Ref BEN CHAABENE Iheb TUN,https://www.youtube.com/watch?v=KPd359X8d8I
2,GEORGIADOU Despina,GRE,15,NOUTCHA Sarah,FRA,14,Ref RUBINI Jacopo ITA,https://www.youtube.com/watch?v=zIBxeSltd9E
